plaintext        ->       ciphertext
------------------------------------
89bc8acb348c1ecc -> 9e31e5f5a8cef654
102708d526ce86e3 -> 2c1268d98e66b343
f325c207d9562460 -> c35b2a05892c529b
a87d70390084a3c3 -> 0cb354caa06c7190
24d5ce59b0522da8 -> 9f8976c9ae13387f
9b2debc8c31054b1 -> 0acc0f066a499584
3de1b1e8466f44ef -> 9b248c3d4ab19689
9ebf62892cdfed78 -> 330a8c38b7ea14f5
4cc53edc2032e7d3 -> d3d166309b4f13b2
2c2c9121e56a08b5 -> 0f0ef700d4ca4579
0960a1a053fc1ee9 -> 69b8ff981f5e0308
2a6c4a1cb1047fee -> ccddffdd954e2d59
fac2001584e40a24 -> 095429cdfe3290b8
d00b6e33b0f3ec19 -> c494852274b97316
9e754706e31c36dc -> 6adc6362a1db0547
881bb04ac3dffb14 -> 428f35ad196bf521
04c2ed5fd31dba47 -> f25a1c0bb005e04e
bebc67b6c222c062 -> 057f79262c1f6268
2491d001204267fc -> d52a5507d3a53b96
890a65beda74e6d6 -> 5b3ed00964bdf967
5c11b5b1f0d90c38 -> 616aff2f4962b86c
065a6de9693a887c -> 1d379090915897d4
c9b4c19760667020 -> 6ed1f13073743e37
3eb70fb778dd0911 -> a0557ac1d33d0e52
d716c8a43c93cf8c -> dc0b04390cb3f640
62e2244b915a5b5c -> b44c5e6718450e3b
1018776c12ea5a0d -> 2f41017d12ee24ad
55595d6280043fb6 -> f5f09e5f9f270785
52ea492772045a8d -> 91aeee6edd9008c7
8b3b9fb7bf4d768f -> fc88481a7f973e3d
5f00113852623dea -> 685b301b745a50f9
6a5e38ad8894d4b6 -> f1df5f7173ae7440
422beaaf356526e6 -> 637eca9c82358a21
bf82ed4834332242 -> 5bc4ba356e26c393
4de57690412904f2 -> 4c8b152de757721d
20adcb478443fe95 -> 687be83e13f1c66d
b620e05c87c666f7 -> f86ed39e36b11023
7a0e6d033e155ddf -> d815e1958b1690b4
b286984522dfbbca -> b7c4a826d3ec98d5
a08facbc3144c7e9 -> 8b5e4e90892ffc26
d490872ccac52a35 -> 9369e92f12ac4a3a
a04a1a6975b7e945 -> 206e8d40b44f5619
cb13a321b1b34ff8 -> 7ee66b78a3c84d13
9b2eb71c3b12288f -> 1822619fe51ba2ca
f52c6ce417b70787 -> 93d163a63202ecc9
313fa60acb6c3cd6 -> 6937e8d7e1e6ac2c
b2f09159a7c29486 -> 00ad773c7518e12c
def89e36ce7e86f7 -> a6b42adc1b986d97
54360df0b9b9258f -> f590153f98d86a54
5929320e2f490909 -> 14bce191978fa633
05054a20c80fc7cd -> d8c61e7365b9d7d7
4c8253c549b461c3 -> 4875505059885fe0
c4909e9616851ad2 -> b94706b95e87cd95
